,name,description,country,year,genre
26,Особенности национальной рыбалки,"Поохотились - теперь порыбачим! Наши старые знакомые, генерал Иволгин, егерь Кузьмич и Лёва Соловейчик, меняют двустволки на удочки. Переведите дух, зайцы и лисы, трепещите, караси и щуки! Герои самой лучшей народной комедии 1995 года выходят из леса на бережок в новом, ещё более смешном, ешё более народном фильме.",Россия,1998,"комедия, приключения"
27,Кушать подано!,"Новогодняя адаптация популярной пьесы французского драматурга Марка Камолетти ""Играем в дружную семью, или Гарнир по-французски"". Как могут достойно отметить Новый год двое настоящих мужчин? Конечно же, отправиться в загородный дом, без деток и супруг, и устроить такое веселье, чтобы стены тряслись и дым стоял коромыслом! Закадычные друзья строят самые радужные планы, предвкушая сказочную ночь. Но их мечты разрушает жена хозяина, ни в какую не желающая покидать дом. Главный герой мечется между женой и любовницей, обманывая и ту, и другую. Друг семьи пытается помочь ему выпутаться из этой щекотливой ситуации, но только подливает масла в огонь. Еще есть приглашенная кухарка, которой пришлось по ходу действия исполнять роль то любовницы, то племянницы. Чем же закончится эта веселая новогодняя неразбериха?",Украина,2005,"комедия, экранизация"
28,Коля-перекати поле,"Продолжение знаменитой картины ""Облако-рай"". Точнее, это — новая история про тех же героев. Время действия — наши дни, место действия — небольшой провинциальный городок, затерявшийся на просторах России. Когда-то случайно брошенная при свидетелях фраза заставила Колю оставить свой дом и любимую девушку. Перебороздив моря и океаны, Коля возвращается в родной город, не подозревая о произошедших в его отсутствие переменах. Для земляков такой сюрприз — полная неожиданность, выплеснувшаяся бурей эмоций и переросшая в панику, ведь приезд Коли — самая настоящая угроза их размеренной жизни. И снова, как десять лет назад, Коля выдумывает историю, которая переворачивает всё с ног на голову, увлекая зрителей в новый, еще более крутой водоворот приключений…",Россия,2005,"комедия, мелодрама, приключения"
29,Грешник,"Когда Владу было 5 лет, его мать убили, и в ее смерти все последующие годы он винит отца. На 20-ю годовщину трагедии юноша решает расставить точки над ""i"" и собирает всех родственников. В процессе поиска и встреч с ними Влад выясняет факты, которые меняют всё...",Россия,2014,драма
30,"Некрасивая подружка - 9. Страшная, страшная сказка","Пожилая актриса Елизавета Науменко уверена, что судьба поступила с ней жестоко. Она прожила жизнь не в ту эпоху! Ее слабость - девятнадцатый век, и на старости лет она хочет пожить так, как ей нравится. Она одевается в исторические костюмы и просит сиделок называть ее «леди Бетси». Сиделок оплачивает сын - таким образом он глушит чувство вины за то, что уделяет матери недостаточно внимания. Вот только с сиделками все время что-то происходит. Первая кончает с собой от несчастной любви. Вторую находят задушенной в саду. Тоня пытается найти убийцу, а сын Елизаветы Петровны приводит в дом новую девушку...",Россия,2022,детектив
31,Некрасивая подружка - 4. Любовный квадрат,"Переживая кризис в личной жизни, Тоня переводится на службу в другой город. Здесь она надеется погрузиться в работу и забыть обо всем. Но новое начальство по-своему смотрит на роль женщины в уголовном розыске. Тоню «ссылают» в самый захудалый отдел, ее сотрудники теперь - молодая фифа и увядающая красотка, у которой на уме только тяжелый роман с женатым мужчиной. Ну и дела дают самые безнадежные. Впрочем, то, что грозило стать «глухарем», неожиданно оказывается весьма интересным расследованием. Убит бизнесмен и его любовница. По зловещей иронии судьбы, свидетелями оказываются жена убитого и его вторая любовница, на которой он собирался жениться. У каждого из этого любовного четырехугольника - своя тайна. Только разгадав их все, Тоня сможет раскрыть убийство.",Россия,2021,детектив
32,Война,"От режиссера фильмов ""Брат"" И ""Брат 2""! Он был солдатом на чеченской войне. В плену он стал рабом. Его отпустили и сказали: ""Не приходи больше!"" Но он вернулся... Это не ""Брат 3"". Это ""Война"".Англичанин Джон и русский солдат Иван встретились впервые в плену, в яме для хранения продуктов, контролируемой полевым командиром Асланом. Аслан хоть и отрезал заложникам головы, но Джона с Иваном отпустил. Ивана - по невыясненным причинам, а Джона - чтобы два миллиона фунтов нашел, выкуп за невесту. Второй раз Джон с Иваном встретились в Сибири, на родине Ивана. Встретились и отправились обратно в Чечню - выручать невесту Джона и капитана Медведева.",Россия,2002,"военный фильм, драма"
33,Жена по совместительству,"Нина, молодая вдова и мать двоих детей, устраивается «домоправительницей» к энергичной бизнесвумен, Анне.Сын хозяйки Игорь, по виду типичный представитель «золотой» молодёжи, совершает поступок – идет в военкомат с просьбой призвать его.Чтобы уберечь сына от службы в армии, Анна вынуждает его вступить в фиктивный брак с Ниной. Поначалу молодожены ненавидят друг друга, но обстоятельства заставят их взглянуть друг на друга новыми глазами...",Россия,2015,мелодрама
34,Ненормальный,"Основано на реальных событиях.8-летний Коля не такой, как все. Мама мальчика Татьяна вслед за врачами уже не верит, что врожденная болезнь отступит, и ребенок когда-нибудь станет «нормальным». Но ее новый знакомый Юрий твердо намерен поставить Колю на ноги с помощью своей уникальной системы гимнастики. А когда во время занятий случайно выясняется, что у мальчика талант к музыке, обучение игре на фортепиано становится еще одним этапом на пути к выздоровлению.Впереди у Коли – престижный конкурс пианистов в Китае, первое свидание и масса препятствий, преодолеть которые ему помогут целительная сила музыки и отцовской любви.",Россия,2024,"драма, комедия, музыкальный фильм"
35,Стрелец неприкаянный,"Нищенствующий в Париже журналист Гера приезжает в Москву к умирающему деду-ученому, и тот сообщает ему об устроенном им коридоре времени в 1966 год. Гера, конечно, сначала не поверил, но, когда дед умер, нашел коридор на заброшенной даче и начал потихоньку таскать золотишко и менять на доллары, благо наивный дед оставил ему в наследство чемодан со старыми рублями. И если неприятности начались в прошлом с комитетчиками, то в настоящем - со сбытом золота и мафиози, желающими прибрать к рукам ""производство"". Но это только сюжет. Своеобразное обаяние картине придает общая стилистика и полумистическая линия любви Геры к прекрасной женщине, живущей одновременно в двух измерениях - в Подмосковье 1966 года и в Париже 1993-го.","Россия, Франция, США",1993,драма
36,Он – дракон,"По роману известных фантастов Сергея и Марины Дяченко.В разгар свадьбы княжну Мирославу похищает дракон, унося в свой замок на острове. В прошлом остались родные, жених, теперь только каменный плен в странной компании – диковинной Руконожки и загадочного молодого человека… но кто он и как оказался на острове? Она раскроет эту тайну слишком поздно: любовь к нему, человеку-дракону, обернется пыткой для них обоих.",Россия,2015,"мелодрама, приключения, фэнтези, экранизация"
37,Менялы,"СССР. Времена денежной реформы 1961 года. Сто рублей в одночасье превратились в десять. Но медных денег реформа не коснулась. Предприимчивый администратор парка культуры и отдыха Прохор Игнатьевич, желая увеличить свой капитал, пытается обменять крупную сумму на мелкую медь с помощью простодушного водителя Жоры Гракина и экс-зека Роланда Бабаскина...",Россия,1992,"приключения, трагикомедия"
38,Прощальные гастроли,"Четыре актрисы провинциального театра едут в одном купе на гастроли в Москву. Их связывает любовь к одному человеку - режиссеру этого театра. Правда, у кого-то все в прошлом, а у кого-то в настоящем.","Россия, Беларусь",1992,Не указан
39,Майский дождь,"В жизни Ольги происходит то самое событие, которого все девушки ждут годами: Марк делает ей предложение! Все происходит, как положено: розы, шампанское, назначение точной даты свадьбы, планы о путешествии, будущих детях... Но вдруг романтику момента нарушают удары в стену: недавно переехавший сосед устроил очередную вечеринку. «Сколько это может продолжаться?» - сетуют друг другу Ольга и Марк. Ольге приходит идея.К соседу Денису они приходят с деловым предложением: продать им с Ольгой квартиру, а они ему подыщут новую – никаких хлопот и даже финансовая выгода. Но Денис не намерен соглашаться… Пара даже после отказа не хочет  отступать: Ольга уже нафантазировала прекрасную большую квартиру и милых детишек! Удастся ли Ольге воплотить свою мечту в реальность, или ей с Марком так и придется страдать из-за столь проблемного соседа?..",Россия,2012,романтическая комедия
40,Некрасивая подружка - 14. Ищите женщину,"Жизнь скромного школьного учителя Ануфриева казалась скучной... пока он не погиб при весьма странных обстоятельствах. И тут выяснилось, что о нем никто ничего не знал! Каждую ночь он в одиночестве ходил по городу, как будто искал кого-то. А в его квартире явно жила какая-то женщина, которую никто никогда не видел. Но самым неожиданным оказывается его завещание, с которого и начинает разматываться клубок расследования...",Россия,2023,детектив
41,Сёстры,"В этих девочках течет одна кровь, но они ненавидят друг друга. Дине – восемь, она играет на скрипке и мечтает стать актрисой. Свете – уже тринадцать, она отлично стреляет и хочет стать снайпером в Чечне. Эти юные существа вынуждены жить в мире, где царят волчьи порядки. В мире, где крадут и убивают детей, а закон - всего лишь бледный и бессильный призрак...Вышедший на свободу отец Дины оказывается в тяжёлой ситуации: ""коллеги"" из братвы обвиняют его в краже ""общака"". Бандиты собираются похитить его ребёнка, и он вынужден прятать обеих девочек. Но убежище оказывается ненадёжным, и детям приходится бежать. Бежать, куда глаза глядят. Без денег, без родных и друзей... Всего за несколько страшных дней двум маленьким, беззащитным девочкам предстоит столкнуться со всеми ужасами нашей жестокой жизни. Им придется повзрослеть на много лет. Но девочки узнают, что существует единственная вещь, которая сильнее зла и несправедливости, которая может спасти этот несовершенный мир. Её имя - Любовь. И девочки полюбят друг друга. Они станут СЁСТРАМИ.",Россия,2001,"боевик, драма, криминальный фильм, мелодрама, социальная драма"
